username_from,channel_code,username_to,replace_to
md_temmy,ORGZU3E5748D,md_temmy,ORGZ5VJ5JDCF
md_ilhamdi,ORGZ1J5PTOPT,md_ilhamdi,ORGZGF9XFMS5
md_m.zakaria,ORGZF6BRRYO4,md_m.zakaria,ORGZSLC5UJTW
md_temmy,ORGZYWHRE2G3,md_temmy,ORGZMQC5WJ4T
md_jainal,ORGZGZDBEMYW,md_jainal,ORGZCCP78ITP
md_jaka,ORGZ0UIB5BWU,md_jaka,ORGZ78QPR38J
md_jainal,ORGZD5XT8EF4,md_jainal,ORGZFJIKJXJO
md_m.zakaria,ORGZP9G1I4XU,md_m.zakaria,ORGZQ1N28OS4
md_ardan,ORGZX0FUGXU7,md_ardan,ORGZAA4OXHVZ
md_m.zakaria,ORGZQTYQQDSF,md_m.zakaria,ORGZK3CJN2RU
md_muh,ORGZFN0Y4WAJ,md_muh,ORGZT7NMZOJ0
md_rangga.s,ORGZ73WM0WSI,md_rangga.s,ORGZR79IYXGA
md_rangga.s,ORGZ0TCXPBPF,md_rangga.s,ORGZIN82PJM3
md_ilhamdi,ORGZTXHD2MSW,md_ilhamdi,ORGZLF4MIHE7
md_muh,ORGZUP6YZFVO,md_muh,ORGZQKKPKK0Z
