code,note1,note2,note3,note4,note5
"CN71080FHC	",111111111,,,,
"SGH038X7EV	",111111112,,,,
"CN71080FHK	",111111113,,,,
"SGH051X18P	",111111114,,,,
"SGH138X5BX	",111111115,,,,
"SGH125X4WS	",111111116,,,,
"SGH141XE83	",111111117,,,,
"SGH032XA8J	",111111118,,,,
"SGH138X649	",111111119,,,,
"CN713405V8	",111111120,,,,
"SGH038X7D0	",111111121,,,,
"SGH134XEBV	",111111122,,,,
"CN713908QX	",111111123,,,,
"CN71410KJH	",111111124,,,,
"CN71410KJ1	",111111125,,,,
"SGH124XYLY	",111111126,,,,
"9573816	",111111127,,,,
"CN71410QGV	",111111128,,,,
"CN71240D64	",111111129,,,,
"SGH141XA4H	",111111130,,,,
"SGH144XB6S	",111111131,,,,
"SGH144XB6T	",111111132,,,,
"SGH139X9KL	",111111133,,,,
"SGH139X9KP	",111111134,,,,
"SGH139X9L1	",111111135,,,,
"SGH139X9L7	",111111136,,,,
"SGH134XBNX	",111111137,,,,
"SGH134XBN8	",111111138,,,,
"CN71410QFS	",111111139,,,,
"SGH146XXWX	",111111140,,,,
"SGH143X4YY	",111111141,,,,
"CN71470QB4	",111111142,,,,
"CN71380J17	",111111143,,,,
"SGH115XNT7	",111111144,,,,
"SGH953XYL7	",111111145,,,,
"SGH121XD8E	",111111146,,,,
"SGH121XDKN	",111111147,,,,
"SGH121XDM3	",111111148,,,,
"SGH134XBMB	",111111149,,,,
"SGH134XBMP	",111111150,,,,
"SGH103X95B	",111111151,,,,
"SGH117XACW	",111111152,,,,
"SGH121XD78	",111111153,,,,
"SGH121XDKF	",111111154,,,,
"SGH103X96V	",111111155,,,,
"SGH117X98F	",111111156,,,,
"SGH953XYLE	",111111157,,,,
"SGH121XDL5	",111111158,,,,
"SGH121XDLH	",111111159,,,,
"SGH103X96M	",111111160,,,,
"SGH103X9VX	",111111161,,,,
"SGH143X4X1	",111111162,,,,
"CN71410KJ5	",111111163,,,,
"CN71410OG5	",111111164,,,,
"CN71410QFJ	",111111165,,,,
"SGH143X4XN	",111111166,,,,
"CN71410KJF	",111111167,,,,
"CN71400S7J	",111111168,,,,
"SGH134XAY2	",111111169,,,,
"SGH147XMKB	",111111170,,,,
"CN71380W26	",111111171,,,,
"CN71360N0T	",111111172,,,,
"CN71380W1Y	",111111173,,,,
"SGH121XDM8	",111111174,,,,
"CN71380W14	",111111175,,,,
"SGH138XX39	",111111176,,,,
"SGH138XX3B	",111111177,,,,
"CN71410KHS	",111111178,,,,
"CN71470Q9Z	",111111179,,,,
"SGH141XB5H	",111111180,,,,
"SGH121XD8C	",111111181,,,,
"CN713902NQ	",111111182,,,,
"CN71410KJ8	",111111183,,,,
"CN71470Q9W	",111111184,,,,
"CN71400SCV	",111111185,,,,
"CN71420JP0	",111111186,,,,
"SGH145XK80	",111111187,,,,
"SGH147XA0T	",111111188,,,,
"SGH147XEC2	",111111189,,,,
"SGH147XEV4	",111111190,,,,
"SGH950XAJL	",111111191,,,,
"CN71410QFD	",111111192,,,,
"SGH141XB5T	",111111193,,,,
"SGH150X74J	",111111194,,,,
"SGH147XET8	",111111195,,,,
"CN71460QDX	",111111196,,,,
"CN71470PWN	",111111197,,,,
"SGH953XYLD	",111111198,,,,
"SGH141XB5W	",111111199,,,,
"SGH147XET1	",111111200,,,,
"SGH142XXBH	",111111201,,,,
"SGH950XAB3	",111111202,,,,
"SGH121XD71	",111111203,,,,
"SGH150X74M	",111111204,,,,
"SGH141XEAY	",111111205,,,,
"SGH137XERJ	",111111206,,,,
"SGH147XKKW	",111111207,,,,
"SGH138X58E	",111111208,,,,
"SGH147XJKB	",111111209,,,,
"SGH137XES1	",111111210,,,,
"SGH142XXB8	",111111211,,,,
"SGH137XERM	",111111212,,,,
"SGH141XEC5	",111111213,,,,
"CN71470PY0	",111111214,,,,
"SGH141XEAF	",111111215,,,,
"SGH141XEBM	",111111216,,,,
"SGH141XE98	",111111217,,,,
"SGH141XEC7	",111111218,,,,
"SGH137XES5	",111111219,,,,
"SGH146XXWS	",111111220,,,,
